seq_idx,header,rank,start_pos,end_pos,trough_pos,width_bp,mean_residual,gc_pct,nonB_motifs,n_motif_types
46,FP015565 UQCR10_1            :+U  EU:NC; range -3000 to  3000.,1,-191,-137,-147,55,-0.38011,37.5,STR;PolyT;DirectRepeat,3
47,FP006979 XKR9_1              :+U  EU:NC; range -3000 to  3000.,1,-52,-3,-51,50,-0.29555,76.27,STR;DirectRepeat,2
48,FP014752 ZFP28_1             :+U  EU:NC; range -3000 to  3000.,1,-188,-139,-187,50,-1.75341,100.0,G4;STR;DirectRepeat,3
48,FP014752 ZFP28_1             :+U  EU:NC; range -3000 to  3000.,2,-138,-89,-92,50,-0.76642,93.22,G4;STR;DirectRepeat,3
49,FP003561 ACTRT3_1            :+U  EU:NC; range -3000 to  3000.,1,-140,-91,-104,50,-0.36847,45.76,STR;DirectRepeat,2
49,FP003561 ACTRT3_1            :+U  EU:NC; range -3000 to  3000.,2,-200,-141,-142,60,-0.27844,36.23,STR;DirectRepeat,2
50,FP006721 DEFB107B_1          :+U  EU:NC; range -3000 to  3000.,1,-198,-141,-146,58,-0.42777,43.28,STR;DirectRepeat,2
51,FP009358 ZPR1_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-27,-84,174,-0.10002,63.39,STR;PolyT;DirectRepeat;Triplex,4
52,FP009707 ITPR2_1             :+U  EU:NC; range -3000 to  3000.,1,-187,-69,-99,119,-0.13787,78.91,iMotif;STR;DirectRepeat,3
53,FP016341 F9_1                :+U  EU:NC; range -3000 to  3000.,1,-178,-117,-144,62,-0.28456,46.48,DirectRepeat,1
54,FP011853 DEXI_1              :+U  EU:NC; range -3000 to  3000.,1,-178,-93,-107,86,-0.1771,70.53,STR;DirectRepeat,2
55,FP007253 MFSD3_1             :+U  EU:NC; range -3000 to  3000.,1,-185,-136,-168,50,-0.80359,88.14,G4;STR;DirectRepeat,3
57,FP013410 MYOM1_1             :+U  EU:NC; range -3000 to  3000.,1,-197,-148,-192,50,-1.00203,52.54,STR;DirectRepeat,2
58,FP016208 NRK_1               :+U  EU:NC; range -3000 to  3000.,1,-179,-97,-104,83,-0.14429,70.65,STR;DirectRepeat,2
59,FP002890 LRRC3B_1            :+U  EU:NC; range -3000 to  3000.,1,-117,-38,-43,80,-0.21974,62.92,STR;DirectRepeat,2
59,FP002890 LRRC3B_1            :+U  EU:NC; range -3000 to  3000.,2,-200,-118,-164,83,-0.15489,71.74,STR;DirectRepeat,2
60,FP010228 PPP1CC_1            :+U  EU:NC; range -3000 to  3000.,1,-132,-83,-114,50,-0.74374,76.27,iMotif;STR;DirectRepeat,3
61,FP003937 TMPRSS11D_1         :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-171,50,-0.46373,20.34,DirectRepeat,1
62,FP003810 QDPR_1              :+U  EU:NC; range -3000 to  3000.,1,-62,-13,-26,50,-0.61489,86.44,STR;DirectRepeat,2
62,FP003810 QDPR_1              :+U  EU:NC; range -3000 to  3000.,2,-200,-151,-194,50,-0.06349,74.58,STR;DirectRepeat;Triplex,3
62,FP003810 QDPR_1              :+U  EU:NC; range -3000 to  3000.,3,-150,-63,-63,88,-0.18133,82.47,STR;DirectRepeat,2
63,FP001416 ARL8A_1             :+U  EU:NC; range -3000 to  3000.,1,-193,-21,-99,173,-0.14484,78.02,ZDNA;STR;DirectRepeat;Triplex,4
64,FP007256 LRRC24_1            :+U  EU:NC; range -3000 to  3000.,1,-194,-145,-183,50,-0.30993,83.05,STR;DirectRepeat,2
64,FP007256 LRRC24_1            :+U  EU:NC; range -3000 to  3000.,2,-144,-95,-115,50,-0.48401,86.44,iMotif;ZDNA;STR;DirectRepeat,4
65,FP003776 MRFAP1L1_1          :+U  EU:NC; range -3000 to  3000.,1,-198,-96,-128,103,-0.19012,66.96,ZDNA;STR;DirectRepeat,3
66,FP003634 IGF2BP2_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-200,50,-0.28047,74.58,STR;DirectRepeat;Triplex,3
66,FP003634 IGF2BP2_1           :+U  EU:NC; range -3000 to  3000.,2,-16,33,-15,50,-0.29291,74.58,STR;DirectRepeat;Triplex,3
67,FP011858 PRM1_1              :+U  EU:NC; range -3000 to  3000.,1,-114,-63,-72,52,-0.19868,57.38,STR;DirectRepeat,2
67,FP011858 PRM1_1              :+U  EU:NC; range -3000 to  3000.,2,-193,-115,-142,79,-0.10362,59.09,STR;DirectRepeat,2
68,FP010910 MTHFD1_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-169,50,-0.84893,57.63,STR;DirectRepeat,2
71,FP000260 TMEM57_1            :+U  EU:NC; range -3000 to  3000.,1,-199,-150,-151,50,-0.41135,55.93,STR;DirectRepeat,2
74,FP006573 TRIM24_1            :+U  EU:NC; range -3000 to  3000.,1,-173,-124,-170,50,-1.1249,77.97,STR;DirectRepeat;Triplex,3
75,FP009442 NRGN_1              :+U  EU:NC; range -3000 to  3000.,1,-122,-73,-98,50,-0.6581,74.58,STR;DirectRepeat,2
77,FP003796 HS3ST1_1            :+U  EU:NC; range -3000 to  3000.,1,-60,-11,-43,50,-0.50626,69.49,STR;DirectRepeat,2
78,FP015494 TOP3B_1             :+U  EU:NC; range -3000 to  3000.,1,-192,-139,-162,54,-0.1419,69.84,STR;DirectRepeat,2
79,FP012603 LINC00675_1         :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-193,50,-0.16535,54.24,DirectRepeat,1
80,FP000529 LRRC41_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-132,-160,69,-0.29612,35.9,STR;DirectRepeat,2
81,FP003524 KCNAB1_1            :+U  EU:NC; range -3000 to  3000.,1,-180,-130,-144,51,-0.50745,60.0,STR;DirectRepeat,2
84,FP011846 GRIN2A_1            :+U  EU:NC; range -3000 to  3000.,1,-200,5,-18,206,-0.08535,73.02,STR;DirectRepeat,2
85,FP010545 ATP7B_1             :+U  EU:NC; range -3000 to  3000.,1,-84,23,19,108,-0.31037,75.21,iMotif;STR;DirectRepeat,3
85,FP010545 ATP7B_1             :+U  EU:NC; range -3000 to  3000.,2,-198,-85,-125,114,-0.06951,68.29,STR;DirectRepeat,2
86,FP002673 TRIP12_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-164,50,-0.7361,71.19,G4;STR;DirectRepeat;Triplex,4
86,FP002673 TRIP12_1            :+U  EU:NC; range -3000 to  3000.,2,-150,49,49,200,-0.10243,74.64,STR;DirectRepeat;Triplex,3
87,FP013197 AMZ2_1              :+U  EU:NC; range -3000 to  3000.,1,-83,-34,-78,50,-0.23989,79.66,STR;DirectRepeat,2
87,FP013197 AMZ2_1              :+U  EU:NC; range -3000 to  3000.,2,-33,18,14,52,-0.0948,73.77,DirectRepeat,1
88,FP005837 PLAGL1_1            :+U  EU:NC; range -3000 to  3000.,1,-178,-129,-130,50,-0.36444,84.75,STR;DirectRepeat,2
90,FP008644 CYB5R2_1            :+U  EU:NC; range -3000 to  3000.,1,-192,-21,-26,172,-0.15309,69.06,G4;STR;DirectRepeat;Triplex,4
91,FP005412 PNPLA1_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-78,-96,123,-0.26089,55.3,STR;DirectRepeat,2
93,FP005735 DSE_1               :+U  EU:NC; range -3000 to  3000.,1,-184,-135,-153,50,-0.65963,79.66,STR;DirectRepeat;Triplex,3
94,FP000331 PTPRU_1             :+U  EU:NC; range -3000 to  3000.,1,-176,-119,-145,58,-0.64792,82.09,G4;STR;DirectRepeat;Triplex,4
94,FP000331 PTPRU_1             :+U  EU:NC; range -3000 to  3000.,2,-113,-53,-58,61,-0.06119,81.43,DirectRepeat,1
95,FP016159 XKRX_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-192,50,-0.51652,57.63,STR;DirectRepeat,2
95,FP016159 XKRX_1              :+U  EU:NC; range -3000 to  3000.,2,-146,-75,-88,72,-0.20068,64.2,STR;DirectRepeat,2
96,FP002475 WDR75_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-184,50,-0.20677,33.9,STR;DirectRepeat,2
97,FP010584 SPRY2_1             :+U  EU:NC; range -3000 to  3000.,1,-75,-26,-38,50,-0.81626,72.88,STR;DirectRepeat,2
98,FP001127 BCAN_1              :+U  EU:NC; range -3000 to  3000.,1,-41,8,-31,50,-0.19022,67.8,STR;DirectRepeat;Triplex,3
99,FP002794 SSUH2_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-173,50,-0.67534,57.63,STR;DirectRepeat;Triplex,3
99,FP002794 SSUH2_1             :+U  EU:NC; range -3000 to  3000.,2,-134,-28,-35,107,-0.06759,47.41,STR;DirectRepeat,2
100,FP013864 COL5A3_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-171,50,-0.51489,64.41,STR;DirectRepeat,2
102,FP005648 CNR1_1              :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-162,50,-0.56349,72.88,STR;DirectRepeat,2
102,FP005648 CNR1_1              :+U  EU:NC; range -3000 to  3000.,2,-128,-77,-83,52,-0.16648,77.05,STR;DirectRepeat,2
103,FP007371 SIGMAR1_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-95,-147,106,-0.2737,69.57,STR;DirectRepeat,2
104,FP010027 HMGA2_1             :+U  EU:NC; range -3000 to  3000.,1,-68,-19,-46,50,-0.94544,47.46,STR;DirectRepeat,2
104,FP010027 HMGA2_1             :+U  EU:NC; range -3000 to  3000.,2,-200,-149,-153,52,-0.24864,62.3,STR;DirectRepeat,2
106,FP015756 PNPLA3_1            :+U  EU:NC; range -3000 to  3000.,1,-165,-116,-140,50,-0.85775,79.66,iMotif;STR;DirectRepeat,3
107,FP007049 ESRP1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-144,-149,57,-0.1849,59.09,STR;DirectRepeat,2
108,FP013953 KLF1_1              :+U  EU:NC; range -3000 to  3000.,1,-186,-69,-90,118,-0.2122,55.12,STR;DirectRepeat,2
109,FP009196 EMSY_1              :+U  EU:NC; range -3000 to  3000.,1,-73,-12,-27,62,-0.33456,67.61,ZDNA;STR;DirectRepeat,3
109,FP009196 EMSY_1              :+U  EU:NC; range -3000 to  3000.,2,-127,-74,-81,54,-0.24058,44.44,STR;DirectRepeat;Triplex,3
112,FP011777 PRSS27_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-145,-182,56,-0.47293,73.85,STR;DirectRepeat,2
112,FP011777 PRSS27_1            :+U  EU:NC; range -3000 to  3000.,2,-144,-66,-96,79,-0.15842,70.45,G4;DirectRepeat;Triplex,3
113,FP007799 RALGDS_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-176,50,-0.3024,79.66,STR;DirectRepeat,2
113,FP007799 RALGDS_1            :+U  EU:NC; range -3000 to  3000.,2,-104,-36,-42,69,-0.27202,79.49,iMotif;STR;DirectRepeat,3
114,FP005610 IMPG1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-190,50,-0.70543,35.59,STR;DirectRepeat,2
116,FP000890 MAN1A2_1            :+U  EU:NC; range -3000 to  3000.,1,-122,-73,-74,50,-1.43993,79.66,STR;DirectRepeat;Triplex,3
117,FP012748 NF1_1               :+U  EU:NC; range -3000 to  3000.,1,-72,-23,-25,50,-0.66926,69.49,STR;DirectRepeat,2
118,FP004376 NDUFS6_1            :+U  EU:NC; range -3000 to  3000.,1,-95,-46,-95,50,-0.25207,66.1,STR;DirectRepeat,2
121,FP005351 PSMB8_1             :+U  EU:NC; range -3000 to  3000.,1,-166,-115,-138,52,-0.49938,57.38,iMotif;STR;DirectRepeat,3
121,FP005351 PSMB8_1             :+U  EU:NC; range -3000 to  3000.,2,-17,44,13,62,-0.05143,60.56,STR;DirectRepeat,2
122,FP005143 BLOC1S5_1           :+U  EU:NC; range -3000 to  3000.,1,-190,-54,-77,137,-0.16679,58.22,STR;PolyA;DirectRepeat,3
123,FP000340 TINAGL1_1           :+U  EU:NC; range -3000 to  3000.,1,-190,2,-19,193,-0.0961,63.37,STR;DirectRepeat,2
125,FP011221 C15orf41_1          :+U  EU:NC; range -3000 to  3000.,1,-175,-16,-85,160,-0.16052,60.36,DirectRepeat;Triplex,2
126,FP009389 TMEM25_1            :+U  EU:NC; range -3000 to  3000.,1,-173,-124,-126,50,-0.42933,74.58,STR;DirectRepeat;Triplex,3
126,FP009389 TMEM25_1            :+U  EU:NC; range -3000 to  3000.,2,-103,-33,-39,71,-0.08428,78.75,STR;DirectRepeat,2
127,FP015416 ADARB1_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-180,50,-0.11517,79.66,STR;DirectRepeat,2
127,FP015416 ADARB1_1            :+U  EU:NC; range -3000 to  3000.,2,-150,-5,-73,146,-0.17663,85.81,G4;ZDNA;STR;DirectRepeat;Triplex,5
128,FP012894 KRT16_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-188,50,-0.59566,61.02,STR;DirectRepeat,2
129,FP001112 PMF1_1              :+U  EU:NC; range -3000 to  3000.,1,-153,-104,-120,50,-0.53439,74.58,STR;DirectRepeat,2
130,FP015282 USP25_1             :+U  EU:NC; range -3000 to  3000.,1,-59,-10,-42,50,-0.38269,74.58,STR;DirectRepeat;Triplex,3
131,FP011794 MMP25_1             :+U  EU:NC; range -3000 to  3000.,1,-152,-103,-113,50,-0.23646,76.27,G4;STR;DirectRepeat,3
132,FP010045 LYZ_1               :+U  EU:NC; range -3000 to  3000.,1,-52,-3,-45,50,-0.17552,49.15,STR;DirectRepeat;Triplex,3
134,FP012361 SLC7A5_1            :+U  EU:NC; range -3000 to  3000.,1,-187,-11,-106,177,-0.0518,80.65,G4;STR;DirectRepeat,3
135,FP010335 C12orf65_1          :+U  EU:NC; range -3000 to  3000.,1,-191,-90,-93,102,-0.56102,52.25,STR;PolyA;DirectRepeat;Triplex,4
136,FP008685 COPB1_1             :+U  EU:NC; range -3000 to  3000.,1,-162,-113,-159,50,-0.57338,45.76,STR;DirectRepeat;Triplex,3
136,FP008685 COPB1_1             :+U  EU:NC; range -3000 to  3000.,2,-112,-8,-56,105,-0.16171,65.79,STR;DirectRepeat,2
137,FP011035 KCNK10_1            :+U  EU:NC; range -3000 to  3000.,1,-168,-119,-168,50,-0.737,88.14,STR;DirectRepeat,2
137,FP011035 KCNK10_1            :+U  EU:NC; range -3000 to  3000.,2,-117,49,33,167,-0.06348,74.43,G4;ZDNA;STR;DirectRepeat,4
138,FP012108 GNAO1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-193,50,-1.16202,89.83,iMotif;STR;DirectRepeat,3
138,FP012108 GNAO1_1             :+U  EU:NC; range -3000 to  3000.,2,-150,13,-27,164,-0.08658,72.25,ZDNA;STR;PolyT;DirectRepeat,4
139,FP001441 ZC3H11A_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-185,50,-0.59018,67.8,STR;DirectRepeat;Triplex,3
140,FP011746 RPS2_1              :+U  EU:NC; range -3000 to  3000.,1,-198,-149,-172,50,-0.29158,69.49,STR;DirectRepeat,2
141,FP002323 MMADHC_1            :+U  EU:NC; range -3000 to  3000.,1,-197,-87,-106,111,-0.09699,54.17,STR;DirectRepeat,2
142,FP005540 CRISP3_1            :+U  EU:NC; range -3000 to  3000.,1,-199,-150,-191,50,-0.64204,23.73,STR;DirectRepeat,2
143,FP014211 NPHS1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-174,50,-0.9693,71.19,STR;DirectRepeat;Triplex,3
145,FP012447 ITGAE_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-199,50,-0.27054,72.88,STR;DirectRepeat,2
145,FP012447 ITGAE_1             :+U  EU:NC; range -3000 to  3000.,2,-149,49,-57,199,-0.13563,72.6,G4;STR;DirectRepeat,3
148,FP016020 NUDT10_1            :+U  EU:NC; range -3000 to  3000.,1,-200,-104,-147,97,-0.1087,76.42,DirectRepeat,1
149,FP006598 KIAA1147_1          :+U  EU:NC; range -3000 to  3000.,1,-183,-8,-22,176,-0.111,82.16,iMotif;STR;DirectRepeat,3
150,FP007579 BAAT_1              :+U  EU:NC; range -3000 to  3000.,1,-119,-70,-73,50,-0.25597,27.12,STR;DirectRepeat;Triplex,3
150,FP007579 BAAT_1              :+U  EU:NC; range -3000 to  3000.,2,-200,-151,-183,50,-0.17959,28.81,STR;DirectRepeat,2
151,FP004439 UGT3A2_1            :+U  EU:NC; range -3000 to  3000.,1,-126,-39,-76,88,-0.35769,54.64,G4;STR;DirectRepeat;Triplex,4
152,FP000916 RBM8A_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-162,50,-0.34999,52.54,STR;DirectRepeat,2
154,FP011348 TNFAIP8L3_1         :+U  EU:NC; range -3000 to  3000.,1,-172,-9,-23,164,-0.14646,87.28,iMotif;STR;DirectRepeat,3
155,FP014175 GRAMD1A_1           :+U  EU:NC; range -3000 to  3000.,1,-190,-141,-144,50,-0.51457,57.63,STR;DirectRepeat,2
155,FP014175 GRAMD1A_1           :+U  EU:NC; range -3000 to  3000.,2,-138,-38,-54,101,-0.17385,77.27,iMotif;STR;DirectRepeat;Triplex,4
156,FP014223 TBCB_1              :+U  EU:NC; range -3000 to  3000.,1,-78,31,12,110,-0.09407,73.95,STR;DirectRepeat,2
158,FP013544 CXXC1_1             :+U  EU:NC; range -3000 to  3000.,1,-178,-47,-101,132,-0.07221,63.12,STR;DirectRepeat,2
159,FP006357 TRIM4_1             :+U  EU:NC; range -3000 to  3000.,1,-194,-143,-168,52,-0.50399,73.77,STR;DirectRepeat,2
161,FP009608 CLECL1_1            :+U  EU:NC; range -3000 to  3000.,1,-166,-117,-134,50,-0.58425,38.98,STR;DirectRepeat,2
163,FP003782 AFAP1_1             :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-184,50,-0.42793,50.85,STR,1
163,FP003782 AFAP1_1             :+U  EU:NC; range -3000 to  3000.,2,-150,-86,-106,65,-0.35631,35.14,STR;DirectRepeat,2
164,FP001940 BCL11A_1            :+U  EU:NC; range -3000 to  3000.,1,-167,9,-26,177,-0.26055,42.47,STR;PolyA;PolyT;DirectRepeat,4
165,FP014470 PRKD2_1             :+U  EU:NC; range -3000 to  3000.,1,-191,-122,-127,70,-0.07216,62.03,STR;DirectRepeat,2
166,FP015221 TAF4_1              :+U  EU:NC; range -3000 to  3000.,1,-178,-4,-70,175,-0.14692,85.87,iMotif;ZDNA;STR;DirectRepeat,4
167,FP000864 DCLRE1B_1           :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-173,50,-0.16334,66.1,STR;DirectRepeat,2
167,FP000864 DCLRE1B_1           :+U  EU:NC; range -3000 to  3000.,2,-145,-69,-129,77,-0.13438,67.44,STR;DirectRepeat,2
167,FP000864 DCLRE1B_1           :+U  EU:NC; range -3000 to  3000.,3,-68,21,-36,90,-0.0832,68.69,ZDNA;STR;DirectRepeat,3
168,FP004110 CENPE_1             :+U  EU:NC; range -3000 to  3000.,1,-188,-139,-184,50,-0.41324,66.1,STR;DirectRepeat,2
169,FP010945 ERH_1               :+U  EU:NC; range -3000 to  3000.,1,-200,-151,-188,50,-0.12616,61.02,DirectRepeat,1
