seq_idx,header,seq_length,mean_perp,sd_perp,min_perp,n_regions,total_region_bp,pct_seq_in_regions,best_mean_residual
123,FP000340 TINAGL1_1           :+U  EU:NC; range -3000 to  3000.,6001,5.919,1.5725,1.0,1,193,3.22,-0.0961
124,FP013781 NDUFA11_1           :+U  EU:NC; range -3000 to  3000.,6001,6.2642,1.4553,1.0,0,0,0.0,
125,FP011221 C15orf41_1          :+U  EU:NC; range -3000 to  3000.,6001,6.2007,1.4327,1.0,1,160,2.67,-0.16052
126,FP009389 TMEM25_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2078,1.369,1.9813,2,121,2.02,-0.42933
127,FP015416 ADARB1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.005,1.427,1.9813,2,196,3.27,-0.11517
128,FP012894 KRT16_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1391,1.3469,1.9877,1,50,0.83,-0.59566
129,FP001112 PMF1_1              :+U  EU:NC; range -3000 to  3000.,6001,6.2079,1.4895,1.0,1,50,0.83,-0.53439
130,FP015282 USP25_1             :+U  EU:NC; range -3000 to  3000.,6001,5.9388,1.4805,1.0,1,50,0.83,-0.38269
131,FP011794 MMP25_1             :+U  EU:NC; range -3000 to  3000.,6001,5.9987,1.5615,1.0,1,50,0.83,-0.23646
132,FP010045 LYZ_1               :+U  EU:NC; range -3000 to  3000.,6001,6.0537,1.5485,1.0,1,50,0.83,-0.17552
133,FP012842 CDK12_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2006,1.5258,1.0,0,0,0.0,
134,FP012361 SLC7A5_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1568,1.4837,1.0,1,177,2.95,-0.0518
135,FP010335 C12orf65_1          :+U  EU:NC; range -3000 to  3000.,6001,6.1804,1.516,1.0,1,102,1.7,-0.56102
136,FP008685 COPB1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1238,1.4597,1.0,2,155,2.58,-0.57338
137,FP011035 KCNK10_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0696,1.4473,1.4174,2,217,3.62,-0.737
138,FP012108 GNAO1_1             :+U  EU:NC; range -3000 to  3000.,6001,5.8487,1.5344,1.0,2,214,3.57,-1.16202
139,FP001441 ZC3H11A_1           :+U  EU:NC; range -3000 to  3000.,6001,6.1517,1.5262,1.0,1,50,0.83,-0.59018
140,FP011746 RPS2_1              :+U  EU:NC; range -3000 to  3000.,6001,6.2444,1.4163,1.0,1,50,0.83,-0.29158
141,FP002323 MMADHC_1            :+U  EU:NC; range -3000 to  3000.,6001,6.217,1.4336,1.0,1,111,1.85,-0.09699
142,FP005540 CRISP3_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0182,1.4727,1.0,1,50,0.83,-0.64204
143,FP014211 NPHS1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1342,1.4624,1.0,1,50,0.83,-0.9693
144,FP015280 SAMSN1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0186,1.4377,1.0,0,0,0.0,
145,FP012447 ITGAE_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2316,1.4331,1.0,2,249,4.15,-0.27054
146,FP012327 CDH13_1             :+U  EU:NC; range -3000 to  3000.,6001,6.257,1.4249,1.0,0,0,0.0,
147,FP000639 MIER1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1556,1.3741,1.4174,0,0,0.0,
148,FP016020 NUDT10_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1686,1.4853,1.0,1,97,1.62,-0.1087
149,FP006598 KIAA1147_1          :+U  EU:NC; range -3000 to  3000.,6001,5.959,1.5012,1.0,1,176,2.93,-0.111
150,FP007579 BAAT_1              :+U  EU:NC; range -3000 to  3000.,6001,6.119,1.4435,1.4174,2,100,1.67,-0.25597
151,FP004439 UGT3A2_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2297,1.455,1.0,1,88,1.47,-0.35769
152,FP000916 RBM8A_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1978,1.4845,1.0,1,50,0.83,-0.34999
153,FP000313 XKR8_1              :+U  EU:NC; range -3000 to  3000.,6001,6.2397,1.3515,1.9813,0,0,0.0,
154,FP011348 TNFAIP8L3_1         :+U  EU:NC; range -3000 to  3000.,6001,6.015,1.4807,1.0,1,164,2.73,-0.14646
155,FP014175 GRAMD1A_1           :+U  EU:NC; range -3000 to  3000.,6001,5.8723,1.5692,1.0,2,151,2.52,-0.51457
156,FP014223 TBCB_1              :+U  EU:NC; range -3000 to  3000.,6001,6.2105,1.4288,1.0,1,110,1.83,-0.09407
157,FP004992 GABRA6_1            :+U  EU:NC; range -3000 to  3000.,6001,6.028,1.4755,1.4174,0,0,0.0,
158,FP013544 CXXC1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2165,1.464,1.0,1,132,2.2,-0.07221
159,FP006357 TRIM4_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2243,1.4582,1.0,1,52,0.87,-0.50399
160,FP003525 SSR3_1              :+U  EU:NC; range -3000 to  3000.,6001,6.0823,1.4826,1.0,0,0,0.0,
161,FP009608 CLECL1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0836,1.4392,1.0,1,50,0.83,-0.58425
162,FP012912 KAT2A_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0565,1.4823,1.0,0,0,0.0,
163,FP003782 AFAP1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1891,1.5284,1.0,2,115,1.92,-0.42793
164,FP001940 BCL11A_1            :+U  EU:NC; range -3000 to  3000.,6001,5.5644,1.5657,1.0,1,177,2.95,-0.26055
165,FP014470 PRKD2_1             :+U  EU:NC; range -3000 to  3000.,6001,5.9594,1.4177,1.0,1,70,1.17,-0.07216
166,FP015221 TAF4_1              :+U  EU:NC; range -3000 to  3000.,6001,5.736,1.5699,1.0,1,175,2.92,-0.14692
167,FP000864 DCLRE1B_1           :+U  EU:NC; range -3000 to  3000.,6001,6.3173,1.4289,1.0,3,217,3.62,-0.16334
168,FP004110 CENPE_1             :+U  EU:NC; range -3000 to  3000.,6001,6.101,1.517,1.0,1,50,0.83,-0.41324
169,FP010945 ERH_1               :+U  EU:NC; range -3000 to  3000.,6001,6.2572,1.4295,1.0,2,140,2.33,-0.12616
170,FP007439 PGM5_1              :+U  EU:NC; range -3000 to  3000.,6001,5.9731,1.4909,1.0,2,119,1.98,-0.41767
171,FP010316 WDR66_1             :+U  EU:NC; range -3000 to  3000.,6001,6.195,1.4872,1.0,1,50,0.83,-0.74811
172,FP015195 BMP7_1              :+U  EU:NC; range -3000 to  3000.,6001,5.9721,1.4445,1.0,1,50,0.83,-0.59687
173,FP012608 MYOCD_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1306,1.4236,1.4174,2,108,1.8,-0.49529
174,FP014218 SYNE4_1             :+U  EU:NC; range -3000 to  3000.,6001,6.0985,1.403,1.0,1,72,1.2,-0.1873
175,FP008612 HBG1_1              :+U  EU:NC; range -3000 to  3000.,6001,6.177,1.4671,1.0,1,50,0.83,-0.20091
176,FP005451 TREML4_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1533,1.4495,1.4174,2,119,1.98,-0.39376
177,FP014738 ZNF580_1            :+U  EU:NC; range -3000 to  3000.,6001,6.2119,1.4707,1.0,0,0,0.0,
178,FP015867 FIGF_1              :+U  EU:NC; range -3000 to  3000.,6001,6.0526,1.4843,1.0,1,60,1.0,-0.20957
179,FP009705 BHLHE41_1           :+U  EU:NC; range -3000 to  3000.,6001,5.9646,1.4765,1.9813,1,50,0.83,-0.93252
180,FP008711 GTF2H1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1746,1.3904,1.0,1,60,1.0,-0.28772
181,FP003004 ALS2CL_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0425,1.4056,1.0,1,50,0.83,-0.22544
182,FP000094 SPSB1_1             :+U  EU:NC; range -3000 to  3000.,6001,5.8091,1.5583,1.0,2,158,2.63,-0.46041
183,FP001782 EPT1_1              :+U  EU:NC; range -3000 to  3000.,6001,6.1733,1.4671,1.0,3,231,3.85,-0.27161
184,FP011185 GOLGA8G_1           :+U  EU:NC; range -3000 to  3000.,6001,6.1202,1.4412,1.4174,2,118,1.97,-0.06967
185,FP015130 SNX21_1             :+U  EU:NC; range -3000 to  3000.,6001,6.163,1.4816,1.0,1,160,2.67,-0.08522
186,FP002474 COL5A2_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0091,1.4085,1.0,0,0,0.0,
187,FP010361 PIWIL1_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1106,1.4629,1.0,1,106,1.77,-0.11358
188,FP003625 CHRD_1              :+U  EU:NC; range -3000 to  3000.,6001,5.9114,1.4778,1.9813,1,50,0.83,-0.42461
189,FP013307 SYNGR2_1            :+U  EU:NC; range -3000 to  3000.,6001,5.9815,1.5247,1.0,2,227,3.78,-0.12532
190,FP000715 GTF2B_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1775,1.4977,1.0,1,50,0.83,-0.24424
191,FP013030 SKAP1_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1174,1.4161,1.0,1,183,3.05,-0.17108
192,FP003931 TECRL_1             :+U  EU:NC; range -3000 to  3000.,6001,5.8768,1.5263,1.0,2,114,1.9,-0.27068
193,FP000073 TNFRSF25_1          :+U  EU:NC; range -3000 to  3000.,6001,6.0455,1.4589,1.0,1,158,2.63,-0.08313
194,FP001442 SNRPE_1             :+U  EU:NC; range -3000 to  3000.,6001,6.209,1.5012,1.0,0,0,0.0,
195,FP003794 ZNF518B_1           :+U  EU:NC; range -3000 to  3000.,6001,6.1965,1.4143,1.0,2,100,1.67,-0.50278
196,FP001317 ABL2_1              :+U  EU:NC; range -3000 to  3000.,6001,5.9954,1.4819,1.0,2,100,1.67,-0.49924
197,FP015268 SOX18_1             :+U  EU:NC; range -3000 to  3000.,6001,5.8861,1.4696,1.0,2,140,2.33,-0.82301
198,FP010476 FREM2_1             :+U  EU:NC; range -3000 to  3000.,6001,6.2407,1.3934,1.0,1,50,0.83,-0.51108
199,FP010679 METTL17_1           :+U  EU:NC; range -3000 to  3000.,6001,6.2656,1.4593,1.0,0,0,0.0,
200,FP004389 C5orf49_1           :+U  EU:NC; range -3000 to  3000.,6001,6.1844,1.4465,1.0,1,50,0.83,-1.16942
201,FP007297 TMEM261_1           :+U  EU:NC; range -3000 to  3000.,6001,6.1633,1.4556,1.0,0,0,0.0,
202,FP015387 NDUFV3_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0646,1.6386,1.0,2,116,1.93,-0.23797
203,FP011956 IL4R_1              :+U  EU:NC; range -3000 to  3000.,6001,6.2032,1.3963,1.0,2,126,2.1,-0.29528
204,FP011444 TIPIN_1             :+U  EU:NC; range -3000 to  3000.,6001,6.1028,1.608,1.0,0,0,0.0,
205,FP012386 CHMP1A_1            :+U  EU:NC; range -3000 to  3000.,6001,6.0935,1.3953,1.0,2,130,2.17,-0.10981
206,FP011959 KIAA0556_1          :+U  EU:NC; range -3000 to  3000.,6001,6.284,1.4607,1.0,1,50,0.83,-0.40162
207,FP000744 DR1_1               :+U  EU:NC; range -3000 to  3000.,6001,5.9765,1.4854,1.0,3,183,3.05,-0.5645
208,FP006443 EFCAB10_1           :+U  EU:NC; range -3000 to  3000.,6001,6.2095,1.4542,1.0,1,55,0.92,-0.09066
209,FP009533 GALNT8_1            :+U  EU:NC; range -3000 to  3000.,6001,6.1065,1.391,1.9813,2,100,1.67,-0.51764
